No.,Reference,Category,Item,PartNumber,Manufacturer,Supplier,SupplierPN,Qty,Notes
1,SW1,スイッチ,タクトスイッチ6mm,,,秋月電子通商,103647,1,
2,"SW2, SW3, SW4, SW5",スイッチ,ロータリーエンコーダー,EC12E2420801,アルプスアルパイン株式会社,秋月電子通商,106357,4,
3,"SW2, SW3, SW4, SW5",つまみ（ノブ）,つまみ（ノブ）,,,秋月電子通商,101000,4,6㎜軸に対応した任意のつまみが使用可能（直径35mmまで）
4,"SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13",ソケット・コネクタ,Kailh Switch Socket,CPG151101S11,Kailh,"Amazon
遊舎工房",,8,
5,"SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13",スイッチ,Cherry MX（キースイッチ）,,,"Amazon
遊舎工房",,8,Cherry MX互換キースイッチが使用可能
6,"SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13",キーキャップ,キーキャップ（1u）（Cherryプロファイル）,,,"Amazon
遊舎工房",,8,
7,U1,ソケット・コネクタ,ロープロファイルピンヘッダー（12P）,,,秋月電子通商,102900,2,ピンヘッダー・ソケット、コンスルー等任意の方法で取り付け（ロータリーエンコーダーと干渉しないように取り付け高さ注意）
8,U1,ソケット・コネクタ,ロープロファイルピンソケット（12P）,,,秋月電子通商,100661,2,同上
9,U1,マイコンボード,Pro Micro,,,"Amazon
遊舎工房",,1,Pro Micro互換ボードが使用可能
10,-,プリント基板,プリント基板（gejipad_8s44re rev0.3a）,,-,-,-,1,ガーバーファイルから製造
11,-,ケース,ケース,,-,-,-,1,STLファイルから出力
12,-,ビス,M3x8mm タッピングビス,,,"ミスミ
モノタロウ
ホームセンター",,11,STLファイルから出力したケースを使用する場合
